"city","longitude","latitude","source"
"Athens",23.731375,37.985272,"Natural Earth 5.1.2"
"Barcelona",2.181424,41.385245,"Natural Earth 5.1.2"
"Brussels",4.331371,50.835263,"Natural Earth 5.1.2"
"Calais",1.833314,50.950416,"Natural Earth 5.1.2"
"Cherbourg",-1.649987,49.650392,"Natural Earth 5.1.2"
"Cologne",6.948059,50.93195,"Natural Earth 5.1.2"
"Copenhagen",12.56154,55.68051,"Natural Earth 5.1.2"
"Geneva",6.140028,46.210008,"Natural Earth 5.1.2"
"Gibraltar",-5.346014,36.128342,"Natural Earth 5.1.2"
"Hamburg",9.998053,53.551971,"Natural Earth 5.1.2"
"Hook of Holland",4.133333,51.9775,"GeoNames"
"Lisbon",-9.146812,38.724669,"Natural Earth 5.1.2"
"Lyons",4.828085,45.771954,"Natural Earth 5.1.2"
"Madrid",-3.685297,40.401972,"Natural Earth 5.1.2"
"Marseilles",5.373064,43.291925,"Natural Earth 5.1.2"
"Milan",9.203063,45.471921,"Natural Earth 5.1.2"
"Munich",11.573048,48.131888,"Natural Earth 5.1.2"
"Paris",2.352992,48.858092,"Natural Earth 5.1.2"
"Rome",12.481313,41.897902,"Natural Earth 5.1.2"
"Stockholm",18.0663,59.324127,"Natural Earth 5.1.2"
"Vienna",16.364693,48.201961,"Natural Earth 5.1.2"
