"group","longitude","latitude"
1,12.43916,41.898389
1,12.430566,41.905469
1,12.438379,41.906201
1,12.43916,41.898389
2,-2.009912,49.180811
2,-2.23584,49.176367
2,-2.220508,49.266357
2,-2.018652,49.23125
2,-2.009912,49.180811
3,-2.547363,49.428711
3,-2.639014,49.450928
3,-2.646143,49.468213
3,-2.520898,49.506299
3,-2.547363,49.428711
4,-4.614258,54.058691
4,-4.785352,54.073047
4,-4.69873,54.224902
4,-4.508643,54.376709
4,-4.377197,54.392578
4,-4.337988,54.269092
4,-4.614258,54.058691
5,-2.742139,51.581104
5,-2.978516,51.538867
5,-3.293115,51.39043
5,-3.562354,51.413818
5,-3.890771,51.59165
5,-4.23457,51.569092
5,-4.091016,51.659912
5,-4.276172,51.68252
5,-4.386279,51.741064
5,-4.600781,51.737646
5,-4.902295,51.62627
5,-5.124756,51.705859
5,-5.200586,51.861377
5,-5.262305,51.880176
5,-5.088086,51.995898
5,-4.383154,52.197314
5,-4.149365,52.32627
5,-3.980322,52.541748
5,-4.078906,52.607861
5,-4.039258,52.704053
5,-4.117529,52.82002
5,-4.101465,52.915479
5,-4.356445,52.897412
5,-4.683057,52.806152
5,-4.63833,52.891113
5,-4.405078,53.013818
5,-4.268555,53.144531
5,-3.764209,53.307617
5,-3.326172,53.347168
5,-3.097559,53.260303
5,-3.165576,53.394678
5,-3.064746,53.426855
5,-2.918555,53.305371
5,-2.749512,53.310205
5,-2.913086,53.350244
5,-3.0646,53.512842
5,-3.059473,53.58623
5,-2.925098,53.732764
5,-3.031787,53.773584
5,-3.045361,53.843848
5,-3.026758,53.905908
5,-2.899854,53.960693
5,-2.846484,54.135303
5,-2.867578,54.177246
5,-3.165967,54.12793
5,-3.569385,54.467578
5,-3.592041,54.564355
5,-3.4646,54.773096
5,-3.26792,54.906592
5,-3.03623,54.953076
5,-3.550439,54.947412
5,-3.95791,54.780957
5,-4.132959,54.779248
5,-4.253418,54.846777
5,-4.51748,54.75835
5,-4.818066,54.846143
5,-4.91123,54.689453
5,-5.135498,54.85752
5,-5.172705,54.985889
5,-5.116699,55.012256
5,-5.055859,54.988135
5,-4.676758,55.501318
5,-4.72417,55.598291
5,-4.891846,55.699121
